"identifier","title","topic"
"SH.DTH.IMRT","Number of infant deaths","Health"
"SH.DTH.MORT","Number of under-five deaths","Health"
"SH.DTH.NMRT","Number of neonatal deaths","Health"
"SH.DYN.AIDS.FE.ZS","Women's share of population ages 15+ living with HIV (%)","Health"
"SH.DYN.AIDS.ZS","Prevalence of HIV, total (% of population ages 15-49)","Health"
"SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","Health"
"SH.DYN.MORT.FE","Mortality rate, under-5, female (per 1,000)","Health"
"SH.DYN.MORT.MA","Mortality rate, under-5, male (per 1,000)","Health"
"SH.DYN.NMRT","Mortality rate, neonatal (per 1,000 live births)","Health"
"SH.HIV.0014","Children (0-14) living with HIV","Health"
"SH.HIV.1524.FE.ZS","Prevalence of HIV, female (% ages 15-24)","Health"
"SH.HIV.1524.MA.ZS","Prevalence of HIV, male (% ages 15-24)","Health"
"SH.HIV.ARTC.ZS","Antiretroviral therapy coverage (% of people with advanced HIV infection)","Health"
"SH.IMM.IDPT","Immunization, DPT (% of children ages 12-23 months)","Health"
"SH.IMM.MEAS","Immunization, measles (% of children ages 12-23 months)","Health"
"SH.MED.BEDS.ZS","Hospital beds (per 1,000 people)","Health"
"SH.MED.NUMW.P3","Nurses and midwives (per 1,000 people)","Health"
"SH.MED.PHYS.ZS","Physicians (per 1,000 people)","Health"
"SH.MLR.NETS.ZS","Use of insecticide-treated bed nets (% of under-5 population)","Health"
"SH.MLR.TRET.ZS","Children with fever receiving antimalarial drugs (% of children under age 5 with fever)","Health"
"SH.STA.ACSN","Improved sanitation facilities (% of population with access)","Health"
"SH.STA.ACSN.RU","Improved sanitation facilities, rural (% of rural population with access)","Health"
"SH.STA.ACSN.UR","Improved sanitation facilities, urban (% of urban population with access)","Health"
"SH.STA.ANVC.ZS","Pregnant women receiving prenatal care (%)","Health"
"SH.STA.ARIC.ZS","ARI treatment (% of children under 5 taken to a health provider)","Health"
"SH.STA.BFED.ZS","Exclusive breastfeeding (% of children under 6 months)","Health"
"SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)","Health"
"SH.STA.MALN.ZS","Malnutrition prevalence, weight for age (% of children under 5)","Health"
"SH.STA.ORCF.ZS","Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding)","Health"
"SH.STA.ORTH","Diarrhea treatment (% of children under 5 who received ORS packet)","Health"
"SH.STA.OWGH.ZS","Prevalence of overweight (% of children under 5)","Health"
"SH.STA.STNT.ZS","Malnutrition prevalence, height for age (% of children under 5)","Health"
"SH.STA.WAST.ZS","Prevalence of wasting (% of children under 5)","Health"
"SH.SVR.WAST.ZS","Prevalence of severe wasting, weight for height (% of children under 5)","Health"
"SH.TBS.DTEC.ZS","Tuberculosis case detection rate (%, all forms)","Health"
"SH.TBS.INCD","Incidence of tuberculosis (per 100,000 people)","Health"
"SH.VAC.TTNS.ZS","Newborns protected against tetanus (%)","Health"
"SH.XPD.EXTR.ZS","External resources for health (% of total expenditure on health)","Health"
"SH.XPD.OOPC.TO.ZS","Out-of-pocket health expenditure (% of total expenditure on health)","Health"
"SH.XPD.OOPC.ZS","Out-of-pocket health expenditure (% of private expenditure on health)","Health"
"SH.XPD.PCAP","Health expenditure per capita (current US$)","Health"
"SH.XPD.PCAP.PP.KD","Health expenditure per capita, PPP (constant 2005 international $)","Health"
"SH.XPD.PRIV.ZS","Health expenditure, private (% of GDP)","Health"
"SH.XPD.PUBL","Health expenditure, public (% of total health expenditure)","Health"
"SH.XPD.PUBL.GX.ZS","Health expenditure, public (% of government expenditure)","Health"
"SH.XPD.PUBL.ZS","Health expenditure, public (% of GDP)","Health"
"SH.XPD.TOTL.ZS","Health expenditure, total (% of GDP)","Health"
"SN.ITK.DEFC.ZS","Prevalence of undernourishment (% of population)","Health"
"SN.ITK.DFCT","Depth of the food deficit (kilocalories per person per day)","Health"
"SN.ITK.VITA.ZS","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","Health"
"SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)","Health"
"SP.DYN.AMRT.FE","Mortality rate, adult, female (per 1,000 female adults)","Health"
"SP.DYN.AMRT.MA","Mortality rate, adult, male (per 1,000 male adults)","Health"
"SP.DYN.CBRT.IN","Birth rate, crude (per 1,000 people)","Health"
"SP.DYN.CDRT.IN","Death rate, crude (per 1,000 people)","Health"
"SP.DYN.CONU.ZS","Contraceptive prevalence (% of women ages 15-49)","Health"
"SP.DYN.IMRT.FE.IN","Mortality rate, infant, female (per 1,000 live births)","Health"
"SP.DYN.IMRT.IN","Mortality rate, infant (per 1,000 live births)","Health"
"SP.DYN.IMRT.MA.IN","Mortality rate, infant, male (per 1,000 live births)","Health"
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)","Health"
"SP.DYN.LE00.IN","Life expectancy at birth, total (years)","Health"
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)","Health"
"SP.DYN.TFRT.IN","Fertility rate, total (births per woman)","Health"
"SP.DYN.TO65.FE.ZS","Survival to age 65, female (% of cohort)","Health"
"SP.DYN.TO65.MA.ZS","Survival to age 65, male (% of cohort)","Health"
"SP.POP.0014.TO.ZS","Population ages 0-14 (% of total)","Health"
"SP.POP.1564.TO.ZS","Population ages 15-64 (% of total)","Health"
"SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total)","Health"
"SP.POP.80UP.FE","Population ages 80 and above, female","Health"
"SP.POP.DPND","Age dependency ratio (% of working-age population)","Health"
"SP.POP.DPND.OL","Age dependency ratio, old (% of working-age population)","Health"
"SP.POP.DPND.YG","Age dependency ratio, young (% of working-age population)","Health"
"SP.POP.GROW","Population growth (annual %)","Health"
"SP.POP.TOTL","Population (Total)","Health"
"SP.POP.TOTL.FE.ZS","Population, female (% of total)","Health"
"SP.REG.BRTH.RU.ZS","Completeness of birth registration, rural (%)","Health"
"SP.REG.BRTH.UR.ZS","Completeness of birth registration, urban (%)","Health"
"SP.REG.BRTH.ZS","Completeness of birth registration (%)","Health"
