"identifier","title","topic"
"SE.COM.DURS","Duration of education, compulsory","Education"
"SE.PRM.AGES","Primary school starting age (years)","Education"
"SE.PRM.DURS","Primary education, duration (years)","Education"
"SE.SEC.AGES","Secondary school starting age (years)","Education"
"SE.SEC.DURS","Secondary education, duration (years)","Education"
"SE.SEC.DURS.LO","Duration of 2A lower secondary","Education"
"SE.SEC.DURS.UP","Duration of education, upper secondary","Education"
"SP.POP.0305.FE.UN","Population, aged 3- 5, female","Education"
"SP.POP.0305.MA.UN","Population, aged 3- 5, male","Education"
"SP.POP.0305.TO.UN","Population, aged 3- 5, total","Education"
"SP.POP.0406.FE.UN","Population, aged 4- 6, female","Education"
"SP.POP.0406.MA.UN","Population, aged 4- 6, male","Education"
"SP.POP.0406.TO.UN","Population, aged 4- 6, total","Education"
"SP.POP.0509.FE.UN","Population, aged 5- 9, female","Education"
"SP.POP.0509.MA.UN","Population, aged 5- 9, male","Education"
"SP.POP.0509.TO.UN","Population, aged 5- 9, total","Education"
"SP.POP.0510.FE.UN","Population, aged 5-10, female","Education"
"SP.POP.0510.MA.UN","Population, aged 5-10, male","Education"
"SP.POP.0510.TO.UN","Population, aged 5-10, total","Education"
"SP.POP.0511.FE.UN","Population, aged 5-11, female","Education"
"SP.POP.0511.MA.UN","Population, aged 5-11, male","Education"
"SP.POP.0511.TO.UN","Population, aged 5-11, total","Education"
"SP.POP.0609.FE.UN","Population, aged 6- 9,female","Education"
"SP.POP.0609.MA.UN","Population, aged 6- 9, male","Education"
"SP.POP.0609.TO.UN","Population, aged 6- 9, total","Education"
"SP.POP.0610.FE.UN","Population, aged 6-10, female","Education"
"SP.POP.0610.MA.UN","Population, aged 6-10, male","Education"
"SP.POP.0610.TO.UN","Population, aged 6-10, total","Education"
"SP.POP.0611.FE.UN","Population, aged 6-11, female","Education"
"SP.POP.0611.MA.UN","Population, aged 6-11, male","Education"
"SP.POP.0611.TO.UN","Population, aged 6-11, total","Education"
"SP.POP.0612.FE.UN","Population, aged 6-12, female","Education"
"SP.POP.0612.MA.UN","Population, aged 6-12, male","Education"
"SP.POP.0612.TO.UN","Population, aged 6-12, total","Education"
"SP.POP.0709.FE.UN","Population, aged 7- 9, female","Education"
"SP.POP.0709.MA.UN","Population, aged 7- 9, male","Education"
"SP.POP.0709.TO.UN","Population, aged 7- 9, total","Education"
"SP.POP.0710.FE.UN","Population, aged 7-10, female","Education"
"SP.POP.0710.MA.UN","Population, aged 7-10, male","Education"
"SP.POP.0710.TO.UN","Population, aged 7-10, total","Education"
"SP.POP.0711.FE.UN","Population, aged 7-11, female","Education"
"SP.POP.0711.MA.UN","Population, aged 7-11, male","Education"
"SP.POP.0711.TO.UN","Population, aged 7-11, total","Education"
"SP.POP.0712.FE.UN","Population, aged 7-12, female","Education"
"SP.POP.0712.MA.UN","Population, aged 7-12, male","Education"
"SP.POP.0712.TO.UN","Population, aged 7-12, total","Education"
"SP.POP.0713.FE.UN","Population, aged 7-13, female","Education"
"SP.POP.0713.MA.UN","Population, aged 7-13, male","Education"
"SP.POP.0713.TO.UN","Population, aged 7-13, total","Education"
"SP.POP.1014.FE.UN","Population, aged 10-14, female","Education"
"SP.POP.1014.MA.UN","Population, aged 10-14, male","Education"
"SP.POP.1014.TO.UN","Population, aged 10-14, total","Education"
"SP.POP.1015.FE.UN","Population, aged 10-15, female","Education"
"SP.POP.1015.MA.UN","Population, aged 10-15, male","Education"
"SP.POP.1015.TO.UN","Population, aged 10-15, total","Education"
"SP.POP.1016.FE.UN","Population, aged 10-16, female","Education"
"SP.POP.1016.MA.UN","Population, aged 10-16, male","Education"
"SP.POP.1016.TO.UN","Population, aged 10-16, total","Education"
"SP.POP.1017.FE.UN","Population, aged 10-17, female","Education"
"SP.POP.1017.MA.UN","Population, aged 10-17, male","Education"
"SP.POP.1017.TO.UN","Population, aged 10-17, total","Education"
"SP.POP.1018.FE.UN","Population, aged 10-18, female","Education"
"SP.POP.1018.MA.UN","Population, aged 10-18, male","Education"
"SP.POP.1018.TO.UN","Population, aged 10-18, total","Education"
"SP.POP.1115.FE.UN","Population, aged 11-15, female","Education"
"SP.POP.1115.MA.UN","Population, aged 11-15, male","Education"
"SP.POP.1115.TO.UN","Population, aged 11-15, total","Education"
"SP.POP.1116.FE.UN","Population, aged 11-16, female","Education"
"SP.POP.1116.MA.UN","Population, aged 11-16, male","Education"
"SP.POP.1116.TO.UN","Population, aged 11-16, total","Education"
"SP.POP.1117.FE.UN","Population, aged 11-17, female","Education"
"SP.POP.1117.MA.UN","Population, aged 11-17, male","Education"
"SP.POP.1117.TO.UN","Population, aged 11-17, total","Education"
"SP.POP.1118.FE.UN","Population, aged 11-18, female","Education"
"SP.POP.1118.MA.UN","Population, aged 11-18, male","Education"
"SP.POP.1118.TO.UN","Population, aged 11-18, total","Education"
"SP.POP.1215.FE.UN","Population, aged 12-15, female","Education"
"SP.POP.1215.MA.UN","Population, aged 12-15, male","Education"
"SP.POP.1215.TO.UN","Population, aged 12-15, total","Education"
"SP.POP.1216.FE.UN","Population, aged 12-16, female","Education"
