"identifier","title","topic"
"BAR.NOED.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with no education","Education"
"BAR.NOED.1519.ZS","Barro-Lee: Percentage of population age 15-19 with no education","Education"
"BAR.NOED.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with no education","Education"
"BAR.NOED.15UP.ZS","Barro-Lee: Percentage of population age 15+ with no education","Education"
"BAR.NOED.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with no education","Education"
"BAR.NOED.2024.ZS","Barro-Lee: Percentage of population age 20-24 with no education","Education"
"BAR.NOED.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with no education","Education"
"BAR.NOED.2529.ZS","Barro-Lee: Percentage of population age 25-29 with no education","Education"
"BAR.NOED.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with no education","Education"
"BAR.NOED.25UP.ZS","Barro-Lee: Percentage of population age 25+ with no education","Education"
"BAR.NOED.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with no education","Education"
"BAR.NOED.3034.ZS","Barro-Lee: Percentage of population age 30-34 with no education","Education"
"BAR.NOED.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with no education","Education"
"BAR.NOED.3539.ZS","Barro-Lee: Percentage of population age 35-39 with no education","Education"
"BAR.NOED.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with no education","Education"
"BAR.NOED.4044.ZS","Barro-Lee: Percentage of population age 40-44 with no education","Education"
"BAR.NOED.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with no education","Education"
"BAR.NOED.4549.ZS","Barro-Lee: Percentage of population age 45-49 with no education","Education"
"BAR.NOED.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with no education","Education"
"BAR.NOED.5054.ZS","Barro-Lee: Percentage of population age 50-54 with no education","Education"
"BAR.NOED.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with no education","Education"
"BAR.NOED.5559.ZS","Barro-Lee: Percentage of population age 55-59 with no education","Education"
"BAR.NOED.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with no education","Education"
"BAR.NOED.6064.ZS","Barro-Lee: Percentage of population age 60-64 with no education","Education"
"BAR.NOED.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with no education","Education"
"BAR.NOED.6569.ZS","Barro-Lee: Percentage of population age 65-69 with no education","Education"
"BAR.NOED.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with no education","Education"
"BAR.NOED.7074.ZS","Barro-Lee: Percentage of population age 70-74 with no education","Education"
"BAR.NOED.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with no education","Education"
"BAR.NOED.75UP.ZS","Barro-Lee: Percentage of population age 75+ with no education","Education"
"BAR.POP.1519","population in thousands (age 15+), 15-19, total","Education"
"BAR.POP.1519.FE","population in thousands (age 15+), 15-19, female","Education"
"BAR.POP.15UP","population in thousands (age 15+), 15+, total","Education"
"BAR.POP.15UP.FE","population in thousands (age 15+), 15+, female","Education"
"BAR.POP.2024","population in thousands (age 15+), 20-24, total","Education"
"BAR.POP.2024.FE","population in thousands (age 15+), 20-24, female","Education"
"BAR.POP.2529","population in thousands (age 15+), 25-29, total","Education"
"BAR.POP.2529.FE","population in thousands (age 15+), 25-29, female","Education"
"BAR.POP.25UP","population in thousands (age 15+), 25+, total","Education"
"BAR.POP.25UP.FE","population in thousands (age 15+), 25+, female","Education"
"BAR.POP.3034","population in thousands (age 15+), 30-34, total","Education"
"BAR.POP.3034.FE","population in thousands (age 15+), 30-34, female","Education"
"BAR.POP.3539","population in thousands (age 15+), 35-39, total","Education"
"BAR.POP.3539.FE","population in thousands (age 15+), 35-39, female","Education"
"BAR.POP.4044","population in thousands (age 15+), 40-44, total","Education"
"BAR.POP.4044.FE","population in thousands (age 15+), 40-44, female","Education"
"BAR.POP.4549","population in thousands (age 15+), 45-49, total","Education"
"BAR.POP.4549.FE","population in thousands (age 15+), 45-49, female","Education"
"BAR.POP.5054","population in thousands (age 15+), 50-54, total","Education"
"BAR.POP.5054.FE","population in thousands (age 15+), 50-54, female","Education"
"BAR.POP.5559","population in thousands (age 15+), 55-59, total","Education"
"BAR.POP.5559.FE","population in thousands (age 15+), 55-59, female","Education"
"BAR.POP.6064","population in thousands (age 15+), 60-64, total","Education"
"BAR.POP.6064.FE","population in thousands (age 15+), 60-64, female","Education"
"BAR.POP.6569","population in thousands (age 15+), 65-69, total","Education"
"BAR.POP.6569.FE","population in thousands (age 15+), 65-69, female","Education"
"BAR.POP.7074","population in thousands (age 15+), 70-74, total","Education"
"BAR.POP.7074.FE","population in thousands (age 15+), 70-74, female","Education"
"BAR.POP.75UP","population in thousands (age 15+), 75+, total","Education"
"BAR.POP.75UP.FE","population in thousands (age 15+), 75+, female","Education"
"BAR.PRM.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.15UP.ZS","Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.2024.ZS","Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.2529.ZS","Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.25UP.ZS","Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.3034.ZS","Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.3539.ZS","Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.4044.ZS","Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.4549.ZS","Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.5054.ZS","Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.5559.ZS","Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.6064.ZS","Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.6569.ZS","Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.7074.ZS","Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary","Education"
"BAR.PRM.CMPT.75UP.ZS","Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary","Education"
"BAR.PRM.ICMP.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.1519.ZS","Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.15UP.ZS","Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.2024.ZS","Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.2529.ZS","Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.25UP.ZS","Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.3034.ZS","Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.3539.ZS","Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.4044.ZS","Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Education"
