"identifier","title","topic"
"LO.PISA.MAT","PISA:Mean performance on the mathematics scale","Education"
"LO.PISA.MAT.FE","PISA:Mean performance on the mathematics scale, female","Education"
"LO.PISA.MAT.MA","PISA:Mean performance on the mathematics scale, male","Education"
"LO.PISA.REA","PISA:Mean performance on the reading scale","Education"
"LO.PISA.REA.FE","PISA:Mean performance on the reading scale, female","Education"
"LO.PISA.REA.MA","PISA:Mean performance on the reading scale, male","Education"
"LO.PISA.SCI","PISA:Mean performance on the science scale","Education"
"LO.PISA.SCI.FE","PISA:Mean performance on the science scale, female","Education"
"LO.PISA.SCI.MA","PISA:Mean performance on the science scale, male","Education"
"SE.COM.DURS","Duration of education, compulsory","Education"
"SE.ENR.PRIM.FM.ZS","Ratio of female to male primary enrollment (%)","Education"
"SE.ENR.PRSC.FM.ZS","Ratio of girls to boys in primary and secondary education (%)","Education"
"SE.ENR.SECO.FM.ZS","Ratio of female to male secondary enrollment (%)","Education"
"SE.ENR.TERT.FM.ZS","Ratio of female to male tertiary enrollment (%)","Education"
"SE.PRE.ENRL","Enrolment in pre-primary. Public and private. All programmes. Total","Education"
"SE.PRE.ENRL.FE","Enrolment in pre-primary. Public and private. All programmes. Female","Education"
"SE.PRE.ENRL.FE.ZS","Percentage of female students. Pre-primary","Education"
"SE.PRE.ENRL.TC.ZS","Pupil-teacher ratio. Pre-primary","Education"
"SE.PRE.ENRR","School enrollment, preprimary (% gross)","Education"
"SE.PRE.ENRR.FE","School enrollment, preprimary, female (% gross)","Education"
"SE.PRE.ENRR.MA","School enrollment, preprimary, male (% gross)","Education"
"SE.PRE.NENR","Net enrolment rate. Pre-primary. Total","Education"
"SE.PRE.NENR.FE","Net enrolment rate. Pre-primary. Female","Education"
"SE.PRE.NENR.MA","Net enrolment rate. Pre-primary. Male","Education"
"SE.PRE.PRIV.ZS","Percentage of private enrolment. Pre-primary.","Education"
"SE.PRE.TCHR","Teaching staff in pre-primary. Public and private. Full and part-time. All programmes. Total","Education"
"SE.PRE.TCHR.FE","Teaching staff in pre-primary. Public and private. Full and part-time. All programmes. Female","Education"
"SE.PRE.TCHR.FE.ZS","Percentage female teachers. Pre-primary","Education"
"SE.PRM.AGES","Primary school starting age (years)","Education"
"SE.PRM.CMPL.FE.ZS","Gross primary graduation ratio, female","Education"
"SE.PRM.CMPL.MA.ZS","Gross primary graduation ratio, male","Education"
"SE.PRM.CMPL.ZS","Gross primary graduation ratio, total","Education"
"SE.PRM.CMPT.FE.ZS","Primary completion rate, female (% of relevant age group)","Education"
"SE.PRM.CMPT.MA.ZS","Primary completion rate, male (% of relevant age group)","Education"
"SE.PRM.CMPT.ZS","Primary completion rate, total (% of relevant age group)","Education"
"SE.PRM.DURS","Primary education, duration (years)","Education"
"SE.PRM.ENRL","Primary education, pupils","Education"
"SE.PRM.ENRL.FE","Student enrollment, primary, female","Education"
"SE.PRM.ENRL.FE.ZS","Primary education, pupils (% female)","Education"
"SE.PRM.ENRL.TC.ZS","Pupil-teacher ratio, primary","Education"
"SE.PRM.ENRR","School enrollment, primary (% gross)","Education"
"SE.PRM.ENRR.FE","School enrollment, primary, female (% gross)","Education"
"SE.PRM.ENRR.MA","School enrollment, primary, male (% gross)","Education"
"SE.PRM.EPCR.FE.ZS","Expected primary completion rate, female (% of population at theoretical entrance age)","Education"
"SE.PRM.EPCR.MA.ZS","Expected primary completion rate, male (% of population at theoretical entrance age)","Education"
"SE.PRM.EPCR.ZS","Expected primary completion rate (% of population at theoretical entrance age)","Education"
"SE.PRM.GINT.FE.ZS","Gross intake ratio in first grade of primary education, female (% of relevant age group)","Education"
"SE.PRM.GINT.MA.ZS","Gross intake ratio in first grade of primary education, male (% of relevant age group)","Education"
"SE.PRM.GINT.ZS","Gross intake ratio in first grade of primary education, total (% of relevant age group)","Education"
"SE.PRM.NENR","School enrollment, primary (% net)","Education"
"SE.PRM.NENR.FE","School enrollment, primary, female (% net)","Education"
"SE.PRM.NENR.MA","School enrollment, primary, male (% net)","Education"
"SE.PRM.NINT.FE.ZS","Net intake rate in grade 1, female (% of official school-age population)","Education"
"SE.PRM.NINT.MA.ZS","Net intake rate in grade 1, male (% of official school-age population)","Education"
"SE.PRM.NINT.ZS","Net intake rate in grade 1 (% of official school-age population)","Education"
"SE.PRM.PRIV.ZS","School enrollment, primary, private (% of total primary)","Education"
"SE.PRM.REPT.FE.ZS","Repeaters, primary, female (% of female enrollment)","Education"
"SE.PRM.REPT.MA.ZS","Repeaters, primary, male (% of male enrollment)","Education"
"SE.PRM.REPT.ZS","Repeaters, primary, total (% of total enrollment)","Education"
"SE.PRM.TCAQ.FE.ZS","Trained teachers in primary education, female (% of female teachers)","Education"
"SE.PRM.TCAQ.MA.ZS","Trained teachers in primary education, male (% of male teachers)","Education"
"SE.PRM.TCAQ.ZS","Trained teachers in primary education (% of total teachers)","Education"
"SE.PRM.TCHR","Primary education, teachers","Education"
"SE.PRM.TCHR.FE","Teaching staff in primary. Public and private. Full and part-time. All programmes. Female","Education"
"SE.PRM.TCHR.FE.ZS","Primary education, teachers (% female)","Education"
"SE.PRM.TENR","Adjusted net enrollment rate, primary (% of primary school age children)","Education"
"SE.PRM.TENR.FE","Adjusted net enrollment rate, primary, female (% of primary school age children)","Education"
"SE.PRM.TENR.MA","Adjusted net enrollment rate, primary, male (% of primary school age children)","Education"
"SE.PRM.UNER","Children out of school, primary","Education"
"SE.PRM.UNER.FE","Children out of school, primary, female","Education"
"SE.PRM.UNER.MA","Children out of school, primary, male","Education"
"SE.SEC.AGES","Secondary school starting age (years)","Education"
"SE.SEC.CMPT.LO.FE.ZS","Lower secondary completion rate, female (% of relevant age group)","Education"
"SE.SEC.CMPT.LO.MA.ZS","Lower secondary completion rate, male (% of relevant age group)","Education"
"SE.SEC.CMPT.LO.ZS","Lower secondary completion rate, total (% of relevant age group)","Education"
"SE.SEC.DURS","Secondary education, duration (years)","Education"
"SE.SEC.DURS.LO","Duration of 2A lower secondary","Education"
"SE.SEC.DURS.UP","Duration of education, upper secondary","Education"
"SE.SEC.ENRL","Secondary education, pupils","Education"
"SE.SEC.ENRL.FE","Student enrollment, secondary, female","Education"
"SE.SEC.ENRL.FE.VO.ZS","Vocational and Technical enrollment (% of total secondary enrollment), female","Education"
"SE.SEC.ENRL.FE.ZS","Secondary education, pupils (% female)","Education"
"SE.SEC.ENRL.GC","Secondary education, general pupils","Education"
"SE.SEC.ENRL.GC.FE","Secondary education, general pupils, female","Education"
"SE.SEC.ENRL.GC.FE.ZS","Secondary education, general pupils (% female)","Education"
"SE.SEC.ENRL.MA.VO.ZS","Vocational and Technical enrollment (% of total secondary enrollment), male","Education"
"SE.SEC.ENRL.TC.ZS","Pupil-teacher ratio, secondary","Education"
"SE.SEC.ENRL.VO","Secondary education, vocational pupils","Education"
"SE.SEC.ENRL.VO.FE","Secondary education, vocational pupils, female","Education"
"SE.SEC.ENRL.VO.FE.ZS","Secondary education, vocational pupils (% female)","Education"
"SE.SEC.ENRL.VO.ZS","Vocational and Technical enrollment (% of total secondary enrollment), total","Education"
"SE.SEC.ENRR","School enrollment, secondary (% gross)","Education"
"SE.SEC.ENRR.FE","School enrollment, secondary, female (% gross)","Education"
"SE.SEC.ENRR.LO","Gross enrollment rate (%), lower secondary, total","Education"
"SE.SEC.ENRR.LO.FE","Gross enrollment rate (%), lower secondary, female","Education"
"SE.SEC.ENRR.LO.MA","Gross enrollment rate (%), lower secondary, male","Education"
"SE.SEC.ENRR.MA","School enrollment, secondary, male (% gross)","Education"
"SE.SEC.ENRR.UP","Gross enrollment rate (%), upper secondary, total","Education"
"SE.SEC.ENRR.UP.FE","Gross enrolment ratio. Upper secondary. All programmes. Female","Education"
"SE.SEC.ENRR.UP.MA","Gross enrolment ratio. Upper secondary. All programmes. Male","Education"
"SE.SEC.NENR","School enrollment, secondary (% net)","Education"
"SE.SEC.NENR.FE","School enrollment, secondary, female (% net)","Education"
"SE.SEC.NENR.MA","School enrollment, secondary, male (% net)","Education"
"SE.SEC.PRIV.ZS","School enrollment, secondary, private (% of total secondary)","Education"
"SE.SEC.REPT.FE.ZS","Repeaters, secondary, female (% of female enrollment)","Education"
"SE.SEC.REPT.MA.ZS","Repeaters, secondary, male (% of male enrollment)","Education"
"SE.SEC.REPT.ZS","Repeaters, secondary, total (% of total enrollment)","Education"
"SE.SEC.TCHR","Secondary education, teachers","Education"
"SE.SEC.TCHR.FE","Secondary education, teachers, female","Education"
"SE.SEC.TCHR.FE.ZS","Secondary education, teachers (% female)","Education"
"SE.SEC.TCHR.MA","Teaching staff in total secondary. Public and private. Full and part-time. All programmes. Male","Education"
"SE.TER.CMPL.FE.ZS","Gross tertiary graduation ratio (first degree), female","Education"
"SE.TER.CMPL.MA.ZS","Gross tertiary graduation ratio (first degree), male","Education"
"SE.TER.CMPL.ZS","Gross tertiary graduation ratio (first degree), total","Education"
"SE.TER.ENRL","Student enrollment, tertiary, total","Education"
"SE.TER.ENRL.FE","Student enrollment, tertiary, female","Education"
"SE.TER.ENRL.FE.ZS","Girls enrollment share (%), tertiary","Education"
"SE.TER.ENRR","School enrollment, tertiary (% gross)","Education"
"SE.TER.ENRR.FE","School enrollment, tertiary, female (% gross)","Education"
"SE.TER.ENRR.MA","School enrollment, tertiary, male (% gross)","Education"
"SE.TER.GRAD","Graduates, tertiary, total","Education"
"SE.TER.GRAD.AG.FE.ZS","Graduates in agriculture, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.AG.ZS","Graduates in agriculture (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.ED.FE.ZS","Graduates in education, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.ED.ZS","Graduates in education (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.EN.FE.ZS","Graduates in engineering, manufacturing and construction, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.EN.ZS","Graduates in engineering, manufacturing and construction (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.FE","Graduates, tertiary, female","Education"
